dataset,stage_1,stage_2,region,band,n_stage1,n_stage2,wmean_1,wmean_2,U,p_mwu,p_perm,sig_mwu,sig_perm,r,eta2,effet
av-1,REM I,REM II,dHPC,low,257,242,0.10938909769832493,0.09733702061811418,38214.0,9.83502321340375e-06,0.0011,***,**,-0.22886452069331442,0.052378968832180545,petit
av-1,REM I,REM II,dHPC,theta,257,242,0.169468866636801,0.17256671211695584,30919.0,0.912200814283451,0.6276,ns,ns,0.005724024825545904,3.276446020346581e-05,négligeable
av-1,REM I,REM II,dHPC,beta,257,242,0.32683209637447996,0.3310248506300421,29902.0,0.4580732314721996,0.2276,ns,ns,0.03842814419397367,0.001476722266192832,négligeable
av-1,REM I,REM II,dHPC,high,257,242,0.8345638839917783,0.8391831487028266,29545.0,0.335150397465903,0.8613,ns,ns,0.049908351287905606,0.002490843528276989,négligeable
av-1,REM I,REM II,vHPC,low,257,242,0.12125228858720156,0.11183747580477353,36281.0,0.0012819521397461572,0.0144,**,*,-0.1667041836833134,0.027790284857519897,petit
av-1,REM I,REM II,vHPC,theta,257,242,0.12062975982356154,0.10622196543391592,36982.0,0.0002567304399791755,0.0,***,***,-0.18924655111425537,0.03581425710864047,petit
av-1,REM I,REM II,vHPC,beta,257,242,0.34629456218975,0.3743055255544432,22642.0,1.5050995446801475e-07,0.0,***,***,0.271891179213429,0.07392481333406896,moyen
av-1,REM I,REM II,vHPC,high,257,242,1.0042908095204872,0.9797606954613779,30006.0,0.49814047046408183,0.3682,ns,ns,0.035083770138598536,0.0012308709271380183,négligeable
av-1,REM I,REM II,BLA,low,257,242,0.13456527900362697,0.11861822332145257,36504.0,0.0007836182964295309,0.0585,***,ns,-0.17387529343666586,0.030232617667686656,petit
av-1,REM I,REM II,BLA,theta,257,242,0.12111485381204089,0.11539703494873015,35160.0,0.01161518940788791,0.4915,*,ns,-0.13065569025951063,0.01707090939718918,petit
av-1,REM I,REM II,BLA,beta,257,242,0.31043405841912836,0.33317625177007104,23393.0,1.7063573253079926e-06,0.0,***,***,0.24774093964047983,0.06137557317394787,moyen
av-1,REM I,REM II,BLA,high,257,242,1.2390257602220633,1.2114094196230205,30414.0,0.6715884719760299,0.4488,ns,ns,0.021963533459819273,0.00048239680204060077,négligeable
av-2,REM I,REM II,dHPC,low,20,17,0.11271842659760964,0.10930623862764631,132.0,0.2530993438091922,0.6781,ns,ns,0.22352941176470587,0.04996539792387542,petit
av-2,REM I,REM II,dHPC,theta,20,17,0.1519821579657357,0.15438251008668258,155.0,0.6585590914962616,0.7285,ns,ns,0.08823529411764708,0.007785467128027685,négligeable
av-2,REM I,REM II,dHPC,beta,20,17,0.33420918760372487,0.33794380530888235,159.0,0.748969063972783,0.2959,ns,ns,0.06470588235294117,0.004186851211072663,négligeable
av-2,REM I,REM II,dHPC,high,20,17,0.8384213030084202,0.8323473423894585,197.0,0.4193113242511399,0.8973,ns,ns,-0.1588235294117648,0.025224913494809723,petit
av-2,REM I,REM II,vHPC,low,20,17,0.2673006414611613,0.22560794307506335,296.0,0.00013090467166196283,0.0008,***,***,-0.7411764705882353,0.5493425605536333,grand
av-2,REM I,REM II,vHPC,theta,20,17,0.14094888232432962,0.1480727139682685,122.0,0.14772484583052456,0.2433,ns,ns,0.2823529411764706,0.07972318339100345,moyen
av-2,REM I,REM II,vHPC,beta,20,17,0.2733799230836516,0.28790258664834234,107.0,0.05681177687213462,0.0842,ns,ns,0.37058823529411766,0.13733564013840832,moyen
av-2,REM I,REM II,vHPC,high,20,17,0.7508153046769588,0.8052148217557884,93.0,0.019731143740055787,0.2002,*,ns,0.4529411764705882,0.2051557093425605,grand
av-2,REM I,REM II,BLA,low,20,17,0.14253549998935847,0.1467977957533556,171.0,0.9878422663352727,0.8245,ns,ns,-0.00588235294117645,3.4602076124567226e-05,négligeable
av-2,REM I,REM II,BLA,theta,20,17,0.11614743158489374,0.11834999379143389,176.0,0.8668833840953848,0.8749,ns,ns,-0.03529411764705892,0.001245674740484436,négligeable
av-2,REM I,REM II,BLA,beta,20,17,0.30849935631738523,0.30572218571100473,145.0,0.4552661585047718,0.807,ns,ns,0.1470588235294118,0.02162629757785468,petit
av-2,REM I,REM II,BLA,high,20,17,1.2535701449820893,1.2449819722694118,182.0,0.7259821507864993,0.8894,ns,ns,-0.07058823529411762,0.0049826989619377125,négligeable
rw-1,REM I,REM II,dHPC,low,8,5,0.12683085836351912,0.11775724425999834,21.0,0.9432789432789432,0.3667,ns,ns,-0.050000000000000044,0.0025000000000000044,négligeable
rw-1,REM I,REM II,dHPC,theta,8,5,0.14911659347648062,0.1575271717771893,16.0,0.6216006216006216,0.5766,ns,ns,0.19999999999999996,0.03999999999999998,petit
rw-1,REM I,REM II,dHPC,beta,8,5,0.32610368638659415,0.33029064269864006,18.0,0.8329448329448329,0.5306,ns,ns,0.09999999999999998,0.009999999999999995,négligeable
rw-1,REM I,REM II,dHPC,high,8,5,0.7948625226387026,0.78662211366476,22.0,0.8329448329448329,0.8953,ns,ns,-0.10000000000000009,0.010000000000000018,petit
rw-1,REM I,REM II,vHPC,low,8,5,0.14053477534620668,0.13686565927599553,20.0,1.0,0.7845,ns,ns,0.0,0.0,négligeable
rw-1,REM I,REM II,vHPC,theta,8,5,0.1211669660368951,0.12847952862198234,13.0,0.3543123543123543,0.5195,ns,ns,0.35,0.12249999999999998,moyen
rw-1,REM I,REM II,vHPC,beta,8,5,0.3157699522435743,0.3059207519993862,24.0,0.6216006216006216,0.6204,ns,ns,-0.19999999999999996,0.03999999999999998,petit
rw-1,REM I,REM II,vHPC,high,8,5,1.074695335835358,1.0570441565151645,22.0,0.8329448329448329,0.8333,ns,ns,-0.10000000000000009,0.010000000000000018,petit
rw-1,REM I,REM II,BLA,low,8,5,0.1508772267378518,0.16815704877755908,16.0,0.6216006216006216,0.5433,ns,ns,0.19999999999999996,0.03999999999999998,petit
rw-1,REM I,REM II,BLA,theta,8,5,0.1162071195209775,0.11768805728812569,19.0,0.9432789432789432,0.9392,ns,ns,0.050000000000000044,0.0025000000000000044,négligeable
rw-1,REM I,REM II,BLA,beta,8,5,0.3057139749565388,0.2927851125953996,25.0,0.5236985236985237,0.5205,ns,ns,-0.25,0.0625,moyen
rw-1,REM I,REM II,BLA,high,8,5,1.1384880497003906,1.0866725535274062,25.0,0.5236985236985237,0.4931,ns,ns,-0.25,0.0625,moyen
rw-2,REM I,REM II,dHPC,low,178,193,0.10604154285985376,0.10124895449024157,17681.0,0.625621347585745,0.3472,ns,ns,-0.02934156139023103,0.0008609272248166963,négligeable
rw-2,REM I,REM II,dHPC,theta,178,193,0.18190675425393024,0.18510013730730313,17038.0,0.8932376439989347,0.6849,ns,ns,0.00809221633579782,6.548396522535309e-05,négligeable
rw-2,REM I,REM II,dHPC,beta,178,193,0.32512115521243823,0.3227586377674909,17909.0,0.4784272051600591,0.4457,ns,ns,-0.042615124876288046,0.0018160488682216244,négligeable
rw-2,REM I,REM II,dHPC,high,178,193,0.7821285257246792,0.7897938987258588,17232.0,0.9578822442573136,0.7828,ns,ns,-0.0032019561040925737,1.0252522892535693e-05,négligeable
rw-2,REM I,REM II,vHPC,low,178,193,0.14236932756423293,0.11910920063425968,21636.0,1.5577955194321883e-05,0.0,***,***,-0.2595913139663504,0.06738765028677629,moyen
rw-2,REM I,REM II,vHPC,theta,178,193,0.10457088292379185,0.10553544207670615,17090.0,0.9331997076492492,0.8041,ns,ns,0.005064912382837461,2.5653337445820245e-05,négligeable
rw-2,REM I,REM II,vHPC,beta,178,193,0.3563413201896468,0.3700262083823835,16138.0,0.314260666371992,0.259,ns,ns,0.06048786167549636,0.003658781410073981,négligeable
rw-2,REM I,REM II,vHPC,high,178,193,0.9212848987434997,0.9317100484995886,16738.0,0.6709000427108928,0.7353,ns,ns,0.025557431449030665,0.0006531823022719017,négligeable
rw-2,REM I,REM II,BLA,low,178,193,0.11333450110868003,0.11560879970041611,15979.0,0.2458878359400154,0.7563,ns,ns,0.06974442568550965,0.004864284914201578,négligeable
rw-2,REM I,REM II,BLA,theta,178,193,0.10839885401813042,0.10960554651058074,16906.0,0.7932300411380765,0.8826,ns,ns,0.015776910985620285,0.000248910920248186,négligeable
rw-2,REM I,REM II,BLA,beta,178,193,0.3368297283333993,0.3492717150869077,16296.0,0.39353858803689945,0.1408,ns,ns,0.05128951504919366,0.0026306143539814625,négligeable
rw-2,REM I,REM II,BLA,high,178,193,1.0061910555892368,1.000756440393024,17762.0,0.5711291911162246,0.9133,ns,ns,-0.03405716947080406,0.0011598907923630682,négligeable
